iter	Logloss
0	0.6914548555
1	0.6900938651
2	0.6888941345
3	0.6878560277
4	0.6869470367
5	0.6860265475
6	0.6852438864
7	0.684605219
8	0.6840244638
9	0.6834488959
10	0.6830168865
11	0.6825269499
12	0.6820498115
13	0.6817367643
14	0.6813924424
15	0.6810205453
16	0.6807466639
17	0.6804766023
18	0.6801973832
19	0.6798545706
20	0.6795366931
21	0.6793033891
22	0.6791572518
23	0.6790341246
24	0.6788580474
25	0.6786194618
26	0.6784714973
27	0.6782576641
28	0.6781263903
29	0.6779325682
30	0.6776330267
31	0.677393919
32	0.67720315
33	0.6770538531
34	0.6769109388
35	0.6767529131
36	0.6765949482
37	0.6765045059
38	0.676373796
39	0.6762308836
40	0.6760540934
41	0.6757967205
42	0.6755932339
43	0.6755048458
44	0.6753774486
45	0.6752392342
46	0.6750770378
47	0.675016464
48	0.6748915598
49	0.6748198322
50	0.6747898832
51	0.6747008456
52	0.6745904191
53	0.6744466486
54	0.6743734902
55	0.6743058134
56	0.6742539083
57	0.6741864204
58	0.674081717
59	0.6739731499
60	0.6738426027
61	0.6737580467
62	0.6736638721
63	0.6735649844
64	0.673470115
65	0.6733296968
66	0.6732302576
67	0.6730590961
68	0.672964333
69	0.6728970066
70	0.6728112637
71	0.6727185996
72	0.6726033154
73	0.6725606735
74	0.6724858906
75	0.6724053081
76	0.6722267932
77	0.6721367521
78	0.6720871967
79	0.672029593
80	0.6719656974
81	0.6718800319
82	0.671766274
83	0.6716589528
84	0.6715545728
85	0.6715018049
86	0.6714728548
87	0.6713553788
88	0.671275739
89	0.6711672571
90	0.6711054832
91	0.6710735082
92	0.6709833047
93	0.6708824993
94	0.6708419093
95	0.6707370026
96	0.6706503949
97	0.6705644442
98	0.67052723
99	0.6704568246
100	0.670389731
101	0.6703437393
102	0.6702016215
103	0.6701295246
104	0.6700256825
105	0.6699468209
106	0.6699143392
107	0.6697990212
108	0.6697272679
109	0.6697017759
110	0.6696140343
111	0.6695678078
112	0.6694847505
113	0.6693934442
114	0.6693000116
115	0.6692455415
116	0.6692100037
117	0.6691462423
118	0.6690364364
119	0.6689661686
120	0.6688979512
121	0.6688489703
122	0.6687308874
123	0.6686873809
124	0.668581923
125	0.668518947
126	0.6684624002
127	0.6684046646
128	0.6683326299
129	0.6682530167
130	0.6681350014
131	0.6680722215
132	0.6679954158
133	0.6678731335
134	0.6677635206
135	0.667716341
136	0.6676433973
137	0.6675594274
138	0.6674868095
139	0.6674110035
140	0.667287418
141	0.6671751085
142	0.6670874809
143	0.6670463233
144	0.6669428908
145	0.6668423752
146	0.6668084286
147	0.6667424433
148	0.6666809262
149	0.6666017957
150	0.6664768617
151	0.6663848049
152	0.6663125116
153	0.6662237128
154	0.6661506613
155	0.6660459306
156	0.6659771467
157	0.665907281
158	0.6658319792
159	0.665784475
160	0.6657015653
161	0.6656034244
162	0.6655279456
163	0.665456702
164	0.6653849728
165	0.6653143898
166	0.6652292345
167	0.6651288112
168	0.6650405459
169	0.6649999566
170	0.6649309821
171	0.6648415665
172	0.664766976
173	0.664679623
174	0.6646155925
175	0.6644865511
176	0.6643905569
177	0.6642957624
178	0.6641961356
179	0.6641479829
180	0.6640734539
181	0.6640061548
182	0.6639737484
183	0.663854337
184	0.6637566855
185	0.6636785785
186	0.6636044258
187	0.6635613799
188	0.663459227
189	0.6633944141
190	0.663321177
191	0.6632717881
192	0.6632323017
193	0.6631472931
194	0.663057122
195	0.6629616056
196	0.6629266378
197	0.6628618787
198	0.66281016
199	0.6627320845
200	0.6626614238
201	0.6625272896
202	0.6624630443
203	0.662452498
204	0.6624472319
205	0.6623564124
206	0.6622628558
207	0.6621871034
208	0.6620836708
209	0.6620118343
210	0.661923213
211	0.6618904771
212	0.6617914021
213	0.661736217
214	0.6616209603
215	0.6615684883
216	0.6614552703
217	0.6614140876
218	0.6613804919
219	0.6612991246
220	0.6612031534
221	0.6611577562
222	0.6610555965
223	0.6610074975
224	0.6609113017
225	0.660836762
226	0.6607609818
227	0.6607234675
228	0.6606519267
229	0.660541303
230	0.6604907139
231	0.660464005
232	0.6604250622
233	0.6603705414
234	0.6603445477
235	0.6602642328
236	0.6601990672
237	0.6601446237
238	0.6601115149
239	0.6600741926
240	0.6599764363
241	0.6599054232
242	0.6598582437
243	0.6598025076
244	0.6597374247
245	0.6596498258
246	0.6595726665
247	0.6595270499
248	0.6594421175
249	0.659361518
250	0.6592728886
251	0.6592281207
252	0.6591576895
253	0.6590775102
254	0.6589823706
255	0.658946291
256	0.658927843
257	0.6588662941
258	0.6588113403
259	0.6587085946
260	0.658651667
261	0.6585675399
262	0.6585439638
263	0.6584474822
264	0.6583807798
265	0.6583040506
266	0.6582541052
267	0.6582230516
268	0.6581683646
269	0.6580894189
270	0.6580340341
271	0.6579331118
272	0.6578553227
273	0.6577507549
274	0.6576465383
275	0.6576081633
276	0.6575372997
277	0.6574819647
278	0.6574081834
279	0.6573500269
280	0.6572890488
281	0.6572362839
282	0.6571696903
283	0.657093992
284	0.6570287743
285	0.656966624
286	0.6568244611
287	0.6567680631
288	0.6567282397
289	0.656645683
290	0.6565565025
291	0.656472378
292	0.6563997589
293	0.6563483082
294	0.6563130622
295	0.6562129892
296	0.6561474777
297	0.6560964717
298	0.6560681967
299	0.6560392403
300	0.6559454735
