iter	Passed	Remaining
0	21	21933
1	36	18321
2	53	17702
3	72	18090
4	89	17746
5	106	17715
6	123	17557
7	140	17384
8	154	17054
9	171	16962
10	188	16907
11	204	16838
12	221	16784
13	237	16716
14	253	16676
15	270	16660
16	287	16612
17	304	16594
18	320	16549
19	338	16566
20	355	16557
21	371	16521
22	388	16497
23	404	16464
24	421	16457
25	456	17093
26	496	17910
27	521	18097
28	537	17999
29	556	17991
30	577	18037
31	611	18512
32	647	18982
33	678	19265
34	714	19708
35	735	19688
36	779	20294
37	830	21022
38	880	21706
39	930	22337
40	1013	23701
41	1049	23928
42	1087	24206
43	1138	24740
44	1172	24891
45	1203	24953
46	1236	25074
47	1261	25017
48	1278	24808
49	1294	24591
50	1309	24363
51	1325	24162
52	1341	23967
53	1359	23822
54	1375	23633
55	1392	23468
56	1408	23305
57	1427	23182
58	1446	23072
59	1462	22918
60	1479	22767
61	1495	22622
62	1512	22489
63	1530	22383
64	1546	22245
65	1568	22191
66	1591	22155
67	1607	22032
68	1624	21912
69	1640	21795
70	1657	21681
71	1673	21575
72	1690	21470
73	1707	21366
74	1723	21258
75	1739	21151
76	1757	21065
77	1773	20962
78	1788	20854
79	1805	20758
80	1821	20670
81	1840	20600
82	1856	20516
83	1874	20444
84	1891	20361
85	1907	20277
86	1924	20191
87	1939	20099
88	1956	20022
89	1973	19951
90	1989	19876
91	2006	19799
92	2022	19727
93	2039	19658
94	2057	19598
95	2073	19527
96	2094	19496
97	2111	19434
98	2128	19370
99	2145	19305
100	2161	19236
101	2177	19172
102	2194	19109
103	2210	19045
104	2227	18989
105	2244	18927
106	2260	18867
107	2276	18805
108	2293	18746
109	2312	18710
110	2330	18663
111	2346	18605
112	2361	18536
113	2379	18492
114	2396	18441
115	2415	18405
116	2435	18384
117	2452	18332
118	2469	18284
119	2489	18254
120	2508	18219
121	2524	18170
122	2542	18125
123	2559	18084
124	2579	18056
125	2595	18006
126	2612	17957
127	2628	17908
128	2645	17861
129	2662	17818
130	2679	17773
131	2695	17726
132	2711	17677
133	2730	17644
134	2747	17601
135	2763	17554
136	2780	17512
137	2796	17469
138	2814	17432
139	2832	17401
140	2850	17367
141	2868	17330
142	2884	17288
143	2901	17246
144	2917	17201
145	2933	17161
146	2950	17120
147	2992	17227
148	3028	17298
149	3062	17351
150	3081	17324
151	3100	17295
152	3116	17253
153	3133	17213
154	3150	17172
155	3165	17127
156	3182	17087
157	3198	17045
158	3215	17007
159	3232	16969
160	3248	16930
161	3265	16893
162	3283	16858
163	3299	16821
164	3316	16782
165	3334	16751
166	3351	16716
167	3368	16682
168	3384	16641
169	3403	16617
170	3422	16592
171	3439	16557
172	3455	16520
173	3472	16484
174	3489	16452
175	3507	16419
176	3522	16380
177	3541	16356
178	3590	16466
179	3629	16536
180	3646	16498
181	3662	16460
182	3680	16430
183	3700	16412
184	3719	16386
185	3737	16357
186	3755	16325
187	3770	16287
188	3786	16249
189	3803	16213
190	3819	16179
191	3837	16147
192	3853	16111
193	3870	16079
194	3886	16045
195	3903	16011
196	3919	15975
197	3937	15950
198	3954	15917
199	3969	15878
200	3987	15849
201	4004	15818
202	4020	15786
203	4038	15757
204	4054	15722
205	4071	15694
206	4088	15660
207	4104	15629
208	4121	15599
209	4137	15564
210	4152	15529
211	4170	15502
212	4191	15485
213	4208	15456
214	4224	15426
215	4240	15392
216	4256	15359
217	4273	15328
218	4289	15296
219	4305	15264
220	4321	15231
221	4336	15198
222	4353	15170
223	4370	15139
224	4387	15111
225	4410	15103
226	4427	15075
227	4445	15052
228	4462	15024
229	4479	14996
230	4497	14973
231	4514	14946
232	4530	14914
233	4547	14887
234	4564	14858
235	4581	14832
236	4599	14806
237	4615	14777
238	4631	14748
239	4648	14718
240	4667	14699
241	4688	14685
242	4703	14653
243	4720	14626
244	4737	14599
245	4754	14573
246	4772	14549
247	4789	14522
248	4805	14493
249	4822	14467
250	4839	14441
251	4858	14420
252	4875	14393
253	4891	14366
254	4906	14335
255	4924	14310
256	4940	14282
257	4957	14256
258	4973	14229
259	4989	14201
260	5006	14175
261	5032	14176
262	5063	14190
263	5097	14209
264	5113	14182
265	5130	14156
266	5146	14129
267	5162	14101
268	5181	14080
269	5200	14060
270	5218	14038
271	5236	14014
272	5251	13985
273	5268	13959
274	5285	13934
275	5302	13909
276	5319	13884
277	5336	13859
278	5352	13832
279	5369	13806
280	5394	13802
281	5411	13777
282	5427	13751
283	5446	13730
284	5462	13704
285	5477	13673
286	5494	13650
287	5511	13625
288	5528	13600
289	5555	13601
290	5582	13600
291	5598	13574
292	5614	13548
293	5631	13523
294	5647	13497
295	5666	13476
296	5685	13458
297	5710	13452
298	5727	13428
299	5744	13403
300	5761	13379
301	5777	13354
302	5795	13330
303	5811	13305
304	5828	13281
305	5845	13256
306	5862	13233
307	5881	13213
308	5916	13231
309	5941	13224
310	5966	13219
311	5984	13195
